DateM 2019,***,***,***,2019-12-20,9/10/2019,***,***,***,***,13/12/2019,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-04-16,***,***,***,***,2019-05-20,***,***
DateM 2018,***,2018-07-30,***,***,***,2018-06-04,***,***,***,***,***,2018-06-13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2018-11-13,***,***,***
DateM 2017,***,2017-12-19,***,2017-10-10,***,***,***,25/1/2017,***,2017-02-03,***,***,***,***,2017-04-20,***,2017-05-16,2017-05-11,***,***,***,***,***,***,***,***,2017-06-30,***,***,***,***
DateM 2016,***,***,***,***,2016-06-23,***,***,2016-09-16,***,***,***,***,***,2016-09-12,***,***,***,***,2016-09-16,2016-11-10,2016-09-08,***,***,2016-08-30,2016-04-26,2016-11-24,***,***,***,***,***
2019-10-28,0.3660487771185217,-2.891408254076988,1.2538659943889252,0.2482523331896802,-0.8921054351601398,-0.24046236836170465,0.14471927030454967,0.6625364863182437,2.4005182629170285,1.2670161789185341,1.6590230884393709,0.724436416408647,1.3979769287789434,0.2186124104418763,-0.6372624841004648,-0.4177839351262369,-0.5049380363147504,0.8088971031379399,0.7596727474383114,0.21206759491356753,-0.17964254596276596,2.9689417437474663,0.5116595716331274,-0.1877905617297504,1.113492977951025,0.07996679062831635,-0.6535958576322942,0.40261342276828316,0.6896563315898607,-0.8271541712074892,1.5807944379392147
2019-10-25,0.1740986857627913,-0.10698127933711499,0.732198442134302,-0.6056486683231999,0.7705492314757034,-1.0557607204054409,-0.38443201744062794,0.5794604272814752,1.720746032749254,1.5751050195801808,-0.49175425150470575,1.6569905841373522,0.8183604953816426,-0.26475342060302554,0.08754935571819722,-0.08945316987231111,0.06736542816079272,0.918368915874046,0.11523216815825243,1.5692256047175501,-1.1834319526627168,1.9719298292191878,0.8311819854444513,0.8522741845488513,-1.766931847776465,-0.0799028948476832,-1.923073396174857,0.2860060356162153,0.5974202677536677,0.27648036335519155,-0.6976726443268522
2019-10-24,0.5774971086229153,0.14999681223057948,-0.3102212056626419,0.7002429411471889,3.3780806676502406,1.1278195488721776,0.6286281588847142,0.5388801302841806,-0.3755094567123751,3.2526839823564524,1.9699139539871124,-1.753164478437197,0.6636176440831587,0.5795722603389786,-1.6119114593118322,-2.6132338765068153,-0.1905210996827389,0.0,0.20785255005468795,0.061577764918574474,-1.4577259475218707,4.181277188362853,-0.08591589348770912,1.9797154630103009,0.3800649851713356,-0.0399324469504192,0.60910095744664,0.3545485161162487,0.09644914528044168,-2.0416657129923466,1.146719737281443
2019-10-23,0.34105100582253467,1.65540911361175,-2.195250412447558,0.3399818582271674,0.8179700613199614,2.3076923076922995,-0.8628969314912527,0.27749735361302097,-1.289281622718752,1.5610790694643661,-0.9577799744275861,-0.027824896961659018,-0.5914429639400032,0.8530820253330962,0.6938391174725611,-0.1739170240319332,0.5181985062862271,1.5193389087278408,1.547842065805316,0.6195810734284324,0.0,-0.8150640069408022,1.3348827690194076,-1.1927480568704407,-1.1273473687858804,0.5218738503075526,1.3434964400315552,-0.8702936531609584,0.4651195456665924,0.08340474622796634,0.14723203504525273
2019-10-22,0.05279643778788312,-1.290041917381246,-0.42651934636522837,0.5927966409790653,-0.5472603804789533,-1.1106090364387478,-0.14360354319464808,0.9286629080500486,4.128207884164303,0.9044709104139237,0.8947745363681925,-1.5340362517713202,3.4352919634650814,1.1182121086294128,1.0011252903181056,0.0,0.6804974854777379,-5.912935547667142,-2.7039391960333115,-1.223994865800404,1.0606971621259342,-1.6155558684487148,-1.2324413494385178,-0.42755054464815867,0.2931310466065984,0.36261449087009456,1.5112486820628268,0.6400557098732884,1.2360157707080432,0.9259230270842744,0.324964875484679
2019-10-21,0.905207977919753,1.6834206707712074,0.0,0.5502049127282582,1.9604932885257442,0.7510814058995896,-1.229317306626776,0.6378766539408165,1.378022099545051,1.6004161860384336,-2.307694441788677,2.946984072213521,-0.11750702222574905,1.7555234205482328,0.3138349876477875,-2.569895089899632,0.20457555584940668,0.7528689208801786,1.0607611360962332,1.0513300896217936,0.5331717299841721,4.100167413980826,-0.7961382466198597,-0.7075471698113178,-1.2815175373890764,0.12101777295043803,-0.7681089636036864,2.5211519397679627,2.1750083906519224,-0.9999990463256836,0.8340743792532024
2019-10-18,-0.1687133146158759,0.5274762164105384,-0.23049428953346718,1.2769909087804399,0.2721916114498013,-1.1065686576105405,-0.5641734675408516,-0.7362685510779565,-0.5246257784574326,-1.4249379398258544,0.24536005502362457,-0.6305180855372461,-2.183909799860817,0.7863688319739603,0.5681110500223907,0.6824045805004175,-0.36236598910903695,-0.26118160593529005,-2.5286580300231787,0.15484433460175584,-0.3541858715137902,-1.044708926609017,-0.8178211637249078,-0.282222994492054,-0.5345407352264409,1.1423858519963526,0.036590665604663286,-0.15517267687567005,0.8592786998129265,-0.43559238427841596,-0.9734477265394559
2019-10-17,-0.11965291405793277,-1.3657078983912885,0.14204328402511734,0.7956996281754725,-0.12083043673301042,-0.36247978717434126,0.1412443787093709,1.161934218091587,-0.6222652835213172,0.6659851803699102,0.38704276519740954,0.2528462704187051,2.934220841733848,0.411251844439664,0.853067373070493,2.4766855526787257,-0.5181877630809573,-0.03263782337153964,0.38357848558927543,0.9062528610229492,-0.2355766478705612,-1.2476017998084843,-0.6722671978947825,0.2830217469413254,0.04113156816787367,0.0,-0.40087685207962354,-0.5486963245862619,-1.7871356532388694,1.0056558701861729,1.0432190760059523
2019-10-16,0.31924768642466184,0.8306034275742835,-1.7445917283735457,-0.16355425397925893,1.1457378712030897,-0.6452585670980282,0.188676366266205,0.7504127579329056,1.1396464679563456,1.5608741142737248,-2.3367655645940677,0.9930511247377316,3.1486381801185015,0.26389550485470537,-0.0890468061070071,0.6451648989664438,-0.5712431958043496,0.5249338904693701,2.379299509156252,0.40790447864238466,0.8313593859950119,-1.8832373111144607,0.22458949061006095,0.952380952380949,2.1428597073595013,-0.040779300966986565,-0.75949037023465,1.0044994795587625,0.8410132062317555,0.0628905216290443,2.224249701844583
2019-10-15,1.1470771267574564,1.4412451172296281,2.0291962730094593,1.5662093495750984,1.3469620620982337,1.569880764692999,1.4839665840544525,2.6498128089193607,1.5546753072515074,2.0928516712897194,1.1470238626872353,2.87506630277099,2.681703393244783,1.8649203659520053,1.4584397775236013,0.5603026469004346,0.8130138208472859,1.9057161408629675,2.5586397879169276,0.25165121548322844,-0.3550331973465215,2.0908525530270783,1.1931852860884273,0.8161291038578433,-2.5787977785751703,2.0815986942237075,1.542416758555154,0.6273973573548863,0.7057843779878059,2.4484522251375873,1.0779180377019415
2019-10-14,-0.2005396532762771,-0.7700820306778877,0.24981501033480846,-1.1262360800250781,-0.4162878043788454,0.5979751339296735,1.0643429998661524,0.20068676329467738,0.3988892522458931,0.010618897730862997,1.3742158498285528,0.8091850188524985,-1.1397400334891894,0.13459258563768284,0.2587989195393492,-0.5863405434204494,0.1809931417440458,-0.3996031851133619,-0.07102886553490562,0.41061613626589555,0.29673590504450953,-1.3864270415427482,-0.8729952267621077,0.24061597336717533,-0.4482440391545217,-0.4970989969273809,0.8892173884898824,-0.795295787100847,0.05044189765281981,0.1075103280204992,0.8385131077736752
2019-10-11,2.8563340765008993,4.795946235372184,0.5743022499867134,2.872320725244415,2.9850763445218087,1.6838195218769947,-1.2893968610032114,2.451366832645907,2.1978052440797757,3.337726014944842,0.6739957210435632,5.1516041874031915,1.4580237527723305,2.341592205197074,0.993207189173928,1.0666684751157396,1.8433161496169914,1.213348868978259,2.362782753519066,2.625606015969173,0.5970149253731405,4.391396734196196,1.7770170007141761,0.04814930427781139,1.4468789120754444,1.7277668739988705,-0.5160316770333462,10.234417394611995,2.736034250281305,-0.6408951996506262,4.681402344198382
2019-10-10,0.5782944226672582,2.191329724950797,-0.05380946959080424,0.5094554885366698,1.498791807591715,-0.06232613795129627,-1.7362797283233866,1.411389077227465,1.0567729151720107,2.567566104663266,0.21329759315782404,2.700986213466816,1.2213729047192423,1.026265672921145,-0.299677390936004,-1.0263885330866307,-1.5872947221369227,-0.46963902098818844,0.024235416978157787,1.6474464372833397,-0.7113200770302086,1.6088459647534803,3.0115091000405325,0.4837929437659261,-0.6162695306549337,0.2111486459274614,-1.8806526760860476,-0.9065147031542375,0.5732701775770455,-1.4526286878083883,2.4650211844032155
2019-10-09,1.036403471021985,0.52107389778564,3.2981262535418665,0.34080439524455386,0.7305207371531175,1.278209542281461,0.37682667934901826,0.7921077577350388,0.28741452734344364,1.9400785553495004,0.7160759353425084,-0.15862551081862186,1.0282717107749528,0.2616001490752362,0.5107390457499417,1.0071095067887725,-0.6309227916010074,1.498122622186715,1.2765446175825756,0.5632871920971727,-0.7062960514132244,1.7911958387782922,0.7735810938113596,1.0263884565399728,0.6200909623180539,0.5520182810011987,-0.3244417928279675,2.1609085323506694,1.0745936495336395,0.7209502834774728,0.4013418752612852
2019-10-08,-1.051706812720421,-2.404061815028802,-0.9179364582242,-1.107367879418386,-1.282056141338439,0.3801645172009094,0.23607176241533523,-1.3082317977533675,-1.2593169310375463,-0.5707111020621602,-0.07156071807915554,-2.7310607504229423,-1.4690932702188353,-0.2782606041949687,0.1442643462634452,-0.11834590659837163,-0.9816973041464672,-0.10203666559902569,-1.4396351181771516,-2.958199565946329,-0.5851375282117988,-3.470422787362548,-2.466627930774512,0.09785333317209322,-1.666669147770583,-0.7166934949890069,-0.9992886583552019,-0.5945484507529408,-1.5556938689956445,-0.38022878030333773,0.3019100563761423
2019-10-07,0.704415704687622,0.3014079531615588,0.2761413781832367,0.7030288233901505,1.2822608467798258,1.3648078122649565,0.04723953942242787,0.46481955179416,-1.122412108927473,-0.011415357129573867,-0.3920192728398719,0.015430980213104739,-1.7666063914737573,-0.45013561130293755,0.7798045913002705,0.38610357940302986,0.934581546782276,-0.27137016603897557,-0.6967734461134634,0.5821484629095597,2.0298471023787235,0.7465524678118562,2.1339692760161233,1.0380577424851989,1.2345679012345734,0.5937208983738174,-0.7087131837603344,-0.5341449619941985,1.1752309352804913,1.0027762564837506,0.4041806102056178
2019-10-04,0.7342367691453022,1.054359793162618,1.0604673873546577,-0.29006820682198065,-0.25902516792356556,2.738369971397314,0.8095223563058029,-1.2191267568459674,-0.314685844012097,-0.5561205996768126,1.925179275537281,-1.3097771225644372,0.6763538831364713,-0.017313720185585524,0.5314903232976231,2.216149279509727,0.2936196977105343,1.6551708352976924,1.2652079734044142,-1.4030629001721917,1.4536606951907727,1.3237460932357337,1.2604986601391532,0.9985022314169312,2.5749287719192937,1.3757510164544406,2.3205199108732977,1.4515193082603295,0.48503451247330354,1.7144033624965527,-1.3948894459959948
2019-10-02,-2.760802098268844,-4.604383763987396,-4.766127436296452,-2.452250352938201,-2.339920224879566,-2.976953623525891,-2.0065342932912955,-1.8949944983744027,-2.820251155621245,-2.4576565655951343,-2.0284740950289093,-1.6624241466850265,-1.8199746218491297,-1.9018491144383254,-1.8646514944700487,-1.6716458904209475,-1.2820593240692624,-3.010032207400115,-3.043172762683166,-4.854364437391167,-1.1377208960984264,-3.031786500076017,-4.581901328947846,-2.814169277047329,-2.8301923990577627,-1.6906170316200009,-2.33710996020301,-3.294033550772746,-2.04503549181424,-0.3460204186943594,-2.964866919553777
2019-10-01,-1.321603972355323,-1.4537441084355396,-1.2077653643162156,-0.8417128830412568,-1.3568351673665657,-3.416297442826133,-0.9704209352848214,-0.3251263297401108,0.01699598383995138,-0.9973652499132624,-2.022311032019841,-2.8234576128813638,-0.24533483375602794,-3.915812514323014,-0.36377650815315743,0.029854646258886675,0.5718196767430017,-3.07941896658801,-1.1772958683436308,-0.6031386123635962,-0.5952380952380931,-0.9205337203476938,-1.9101089306092,-0.29027133700287866,0.0,-0.33697885995631616,-1.568493393387227,-0.9454919067807932,-1.45547104852497,-0.6659453569806906,-1.6169962594195453
2019-09-30,0.3807436818326515,1.3619124757376255,0.19291048095209096,0.9440641691663476,0.9128136964079658,0.015464032441681042,0.18518235948350448,1.0956283533093858,0.17021016871674455,0.5288626225664839,-0.10449958347917843,-0.8370629032797505,-1.2118274850705824,1.507121284058166,0.20830352195850832,0.17948361574415816,-0.3797654022981267,-0.35529297886218725,-2.4226538873727055,1.1901110289915806,-0.35587549335391877,-0.5660710883016451,1.0789289214263365,-0.28943854060909935,0.0,0.08431574654945706,0.4200239430003805,0.07420612188828724,0.9141324815828078,0.6921905645529192,0.5419131728726878
2019-09-27,0.7519232580215363,2.96551934603988,2.3147361738063976,0.4742707949029201,2.5004019924054433,0.10834188850479265,0.23201856148491462,1.268028586346004,-0.4743330257277245,1.1478867054085296,1.0915514448998742,1.8820729354006582,-0.2176545487521997,0.232402698784262,-0.4019665575893394,0.9055213624767244,-0.5774574693561352,0.4216644861767982,1.2669874199350728,1.204445264927645,2.430133567239623,-1.867391373446492,0.19914998777561532,1.0233948025083706,0.3292193628632978,0.16891633924385197,0.9897446809314037,0.2790726062863458,1.7239593999187397,0.4999990048615732,0.803341870801999
2019-09-26,0.4443318060633139,-1.1812822634170606,3.318495099875185,0.9818022135036353,0.2587738034511178,-2.209776133216823,0.4662004662004726,-0.45755902593891395,0.9059808193109031,-1.1784137212135337,1.3923576620855416,-2.0452214432363225,-0.4094460061856542,1.090789602642217,0.8368218054247478,2.3162445190235914,1.2935856769065168,-0.4841821199053742,-0.49283702598943435,-0.18494932531949448,-1.789976068465715,1.0268709552821775,0.3998839965945189,0.24425989616718713,1.7587926694171196,1.7182130358953218,1.3615230031986947,0.7497685797928089,-0.22933516105831941,2.7932960893854775,0.38710071194556495
2019-09-25,-0.5929130693047013,-0.676893590086336,-1.5333997017321743,-0.5477465649917912,-0.2741905950730872,0.16676866567371107,-1.060887001560018,-0.4711043272971893,0.017094069492706865,-0.14296409653764552,-0.46197150716604796,0.4775686410899871,0.09643422364702392,-0.15080454444985625,-0.24781601486274507,1.2191350415362567,-1.0352828717201334,-2.1169039000609513,-2.4812799714027722,-0.3991435963565326,-0.8283987553161953,-1.2149055319074287,-0.3132135721188867,-1.3018307751685776,-0.3754667951367141,-0.7249453937066885,-1.2734368748575586,-1.5501018156030666,0.4607838006593923,0.268875036999483,-0.3215434083601254
2019-09-24,-0.2850327877906178,-0.04510703133704386,0.5506608052898931,-0.6153860600036976,-2.239038489346157,0.16704724814047278,0.8372107217478275,-0.4999995231628418,-0.8644039348020383,-1.6760413013562014,0.7158196290945495,-1.9997201599592174,-0.3603207351195459,0.016762420877158846,-0.5835072214366965,1.3946134538753485,0.5034692064977087,0.8282900093574908,0.7772048331759596,-1.153265733889275,-0.17720203564680626,-0.7724717611822585,0.11403204902578068,-0.6229051608851788,1.0965798303655072,0.6869927631800499,-1.0500498434198313,0.24046846118319642,-1.1797572410756851,1.0872016435944376,-2.324118730633584
2019-09-23,-1.0080172366122575,-1.3790012110985295,-0.8553252424078672,-0.3302651372121157,-0.7356412978449245,-2.0526622250572557,-0.09293538618881936,-1.7651596299995465,-0.32099785625480104,-2.3339307503347007,0.2511595474682382,-3.5034903017445274,-0.5969436332950218,-1.1595176003386443,0.29912554429449845,-1.2519609274716847,-0.8871138480749607,-0.3808341426903783,0.10147292300513033,-1.021328156315271,0.23683195365808984,-1.9396375512341302,-1.3498363971201965,-1.1369062462729396,-0.1263638587537419,0.0,1.3479927405730452,-1.583832017206066,-1.408024541101771,0.0,-1.6069258680322274
2019-09-20,0.08275660957373088,-0.969168340568094,-0.09090909090908594,0.07081864698921247,-0.046931758692458914,0.49327626835260485,-0.3242227735206882,0.2461973647772231,-3.236880172478951,-0.16868322117948864,-0.14331561724725272,-0.7605562474216954,-1.039694305013894,-0.2148777985375827,0.8525715713866955,-0.2808993446197894,-0.6281009522346337,-0.9742283749701208,-2.1405658951827444,-1.5962189958607764,0.059236281350005804,-3.670533730759129,0.5087672053850412,3.126531143472211,-1.0008378334988688,0.3446737492165175,2.920778248397937,0.6966105837395986,0.5540175528515823,0.22701995584650803,0.21678916700620388
2019-09-19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
***,^GDAXI,1COV.DE,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DHER.DE,DPW.DE,DTE.DE,DWNI.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN.DE,IFX.DE,LIN.DE,MRK.DE,MTX.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,VNA.DE,VOW.DE
