Info,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,Close.22,Close.23,Close.24,Close.25,Close.26,Close.27,Close.28,Close.29,Close.30,Close.31,Close.32,Close.33,Close.34,Close.35,Close.36,Close.37,Close.38,Close.39,Close.40,Close.41,Close.42,Close.43,Close.44,Close.45,Close.46,Close.47,Close.48,Close.49,Close.50,Close.51,Close.52,Close.53,Close.54,Close.55,Close.56,Close.57,Close.58,Close.59,Close.60,Close.61,Close.62,Close.63,Close.64,Close.65,Close.66,Close.67,Close.68,Close.69,Close.70,Close.71,Close.72,Close.73,Close.74,Close.75,Close.76,Close.77,Close.78,Close.79,Close.80,Close.81,Close.82,Close.83,Close.84,Close.85,Close.86,Close.87,Close.88,Close.89,Close.90,Close.91,Close.92,Close.93,Close.94,Close.95,Close.96,Close.97,Close.98,Close.99,Close.100,Close.101,Close.102,Close.103,Close.104,Close.105,Close.106,Close.107,Close.108,Close.109,Close.110,Close.111,Close.112,Close.113,Close.114,Close.115,Close.116
Moody's 2018,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A1,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A3,***,***,***,***,***,***,***,***,***,Baa1,***,***,***,***,***,***,***,***,***,***,***,Ba1,***,Aa3,***,***,***,***,***,***,***,***,***,***
Moody's 2017,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,Baa1,***,***,***,***,A1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Ba3,***,***,***,***,***,***,***,***
Moody's 2016,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A3,***,Baa3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Aa3,***,***,***,***,Ba1,***
DateS 2021,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-01-27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-02-23,***,***,***,***,***,***,***,***,2021-03-22,***,***,2021-02-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
DateS 2020,***,***,***,***,***,***,***,***,***,2020-07-29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2020-07-13,***,***,***,***,***,***,***,***,***,***,***,***,***,2020-09-29,***,***,***,***,***,***,2020-09-28,***,***,***,2020-05-01,2020-05-20,***,***,***,***,2020-02-19,***,***,***,***,2020-05-28,***,2020-08-12,***,2020-06-10,***,***,***,2020-06-10,2020-06-10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2020-11-17,***,***,***,***,***,***,2020-11-17,***,***,***
DateS 2019,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-01-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-08-21,***,***,***,***,***,***,***,***,***,***,***,2019-09-04,***,***,***,***,2019-02-21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-08-01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-01-24,***,***,***,***,***,***,***,***
DateS 2018,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2019-11-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2018-12-28,***,***,***,2018-06-08,2018-05-01,***,***,***,***,***,***,***,***,***,***,***,***,2018-03-06,***,***,***,***,***,***,***,***,***,***,***,2018-07-17,2018-09-18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2018-12-06,***,***
DateS 2017,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2017-02-27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2017-07-21,2017-03-09,***,***,***,***,2017-01-13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2017-04-25,***,***,***,***,***,***,***,***
DateS 2016,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2016-05-17,***,***,***,***,***,2016-05-16,***,***,***,***,***,***,***,2016-05-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2016-04-01,***,***,***,***,***,***,***,***
DateM 2021,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-01-25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-03-08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-02-16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2021-03-31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
