,Unnamed: 0,Name,Time Slot,Period,T value,P value,Variations
75,75,9432.T-Moody's-2019-06-21,Mid,[-10; -2] and [+2; +10],0.4951680926213324,0.6281624612516408,Decreased
76,76,9501.T-Moody's-2017-05-19,Civ,[-20;-11] and [+11; +20],,,
77,77,9501.T-Moody's-2017-05-19,Civ,[-10; -2] and [+2; +10],-0.5183096628993984,0.6123363018250267,
78,78,9501.T-Moody's-2017-05-19,Mid,[-20;-11] and [+11; +20],-0.9191968923999382,0.371643129208426,
79,79,9501.T-Moody's-2017-05-19,Mid,[-10; -2] and [+2; +10],0.8448270865792359,0.4124126277052424,
80,80,9501.T-Moody's-2019-11-11,Civ,[-20;-11] and [+11; +20],0.8713548139817667,0.3964471423484413,Increased
81,81,9501.T-Moody's-2019-11-11,Civ,[-10; -2] and [+2; +10],1.5434457706802298,0.1450206227917852,Increased
82,82,9501.T-Moody's-2019-11-11,Mid,[-20;-11] and [+11; +20],-0.580877019517921,0.5694158624639052,Increased
83,83,9501.T-Moody's-2019-11-11,Mid,[-10; -2] and [+2; +10],-0.1946423244992258,0.848469234995692,Increased
84,84,9531.T-Moody's-2016-11-22,Civ,[-20;-11] and [+11; +20],-0.6721245187214205,0.5110942660734236,
85,85,9531.T-Moody's-2016-11-22,Civ,[-10; -2] and [+2; +10],1.733540994795949,0.1049560817109535,
86,86,9531.T-Moody's-2016-11-22,Mid,[-20;-11] and [+11; +20],-0.853197486071095,0.4061417873497437,
87,87,9531.T-Moody's-2016-11-22,Mid,[-10; -2] and [+2; +10],-0.3504575619341831,0.7312123549865158,
88,88,9531.T-Moody's-2020-06-11,Civ,[-20;-11] and [+11; +20],-0.9897110245776172,0.3370474686481958,Decreased
89,89,9531.T-Moody's-2020-06-11,Civ,[-10; -2] and [+2; +10],-0.5555630060844011,0.5872783705661304,Decreased
90,90,9531.T-Moody's-2020-06-11,Mid,[-20;-11] and [+11; +20],-0.5048523386818685,0.6205448089081966,Decreased
91,91,9531.T-Moody's-2020-06-11,Mid,[-10; -2] and [+2; +10],-0.8615370279258256,0.4034576359909109,Decreased
92,92,9984.T-Moody's-2016-07-20,Civ,[-20;-11] and [+11; +20],-0.0952647606127468,0.9252874599721505,
93,93,9984.T-Moody's-2016-07-20,Civ,[-10; -2] and [+2; +10],1.278799415852316,0.2217596344512049,
94,94,9984.T-Moody's-2016-07-20,Mid,[-20;-11] and [+11; +20],-0.8389105459072844,0.4138781075878679,
95,95,9984.T-Moody's-2016-07-20,Mid,[-10; -2] and [+2; +10],0.132444322955811,0.8965175911879122,
96,96,9984.T-Moody's-2020-03-25,Civ,[-20;-11] and [+11; +20],0.1157772055429456,0.9092697667789232,Increased
97,97,9984.T-Moody's-2020-03-25,Civ,[-10; -2] and [+2; +10],-0.2227995893159556,0.8269093003417238,Increased
98,98,9984.T-Moody's-2020-03-25,Mid,[-20;-11] and [+11; +20],-1.0400438352904984,0.3137817155584851,Increased
99,99,9984.T-Moody's-2020-03-25,Mid,[-10; -2] and [+2; +10],-0.2381496012308644,0.8152153630181349,Increased
